date,Ben Zobrist,Evan Longoria,Sean Rodriguez,Hideki Matsui,Jose Molina,Ryan Roberts,B.J. Upton,Sam Fuld,Carlos Pena,Elliot Johnson,Desmond Jennings,Chris Gimenez,Matthew Joyce,Luke Scott,Jeff Keppinger,Jose Lobaton,Will Rhymes
5/20/12,1.73,0.00,1.29,0.00,0.16,0.00,1.49,0.00,0.96,1.46,0.00,0.32,1.49,1.05,0.60,0.00,0.84
5/21/12,1.56,0.00,1.29,0.00,0.21,0.00,1.63,0.00,0.96,1.37,0.00,0.32,1.47,0.92,0.52,0.00,1.02
5/22/12,1.58,0.00,1.29,0.00,0.21,0.00,1.85,0.00,1.26,1.56,0.00,0.32,1.55,1.17,0.43,0.00,1.02
5/23/12,1.06,0.00,1.29,0.00,0.21,0.00,2.13,0.00,1.34,1.22,0.00,0.32,1.51,1.40,0.34,0.00,0.89
5/25/12,0.92,0.00,1.07,0.00,0.21,0.00,2.07,0.00,1.55,1.22,0.00,0.32,1.79,1.38,0.34,0.00,0.69
5/26/12,0.67,0.00,0.86,0.00,0.30,0.00,2.07,0.00,1.46,1.09,0.00,0.32,1.70,1.50,0.34,0.00,0.51
5/27/12,0.74,0.00,1.02,0.00,0.23,0.00,2.16,0.00,1.28,0.98,0.00,0.32,1.83,1.45,0.34,0.00,0.49
5/28/12,0.76,0.00,0.93,0.00,0.30,0.00,1.87,0.00,1.28,0.90,0.00,0.32,1.70,1.38,0.09,0.16,0.49
5/29/12,0.76,0.00,0.86,0.21,0.30,0.00,1.82,0.00,1.21,0.84,0.00,0.32,1.80,1.20,0.00,0.25,0.49
5/30/12,0.76,0.00,0.65,0.21,0.39,0.00,1.57,0.00,1.35,0.68,0.00,0.16,1.61,1.34,0.00,0.25,0.47
6/1/12,0.73,0.00,0.59,0.42,0.55,0.00,1.39,0.00,1.41,0.84,0.00,0.16,1.65,1.34,0.00,0.25,0.47
6/2/12,0.86,0.00,0.63,0.42,0.41,0.00,1.28,0.00,1.41,0.84,0.00,0.16,1.51,1.26,0.00,0.25,0.29
6/3/12,0.89,0.00,0.63,0.51,0.41,0.00,1.16,0.00,1.25,0.72,0.00,0.07,1.43,0.93,0.00,0.25,0.36
6/5/12,0.89,0.00,0.72,0.51,0.57,0.00,0.87,0.00,0.99,0.65,0.09,0.00,1.29,0.69,0.00,0.25,0.29
6/6/12,0.75,0.00,0.85,0.51,0.57,0.00,0.83,0.00,0.71,0.44,0.34,0.00,0.99,0.62,0.00,0.25,0.36
6/7/12,0.82,0.00,0.85,0.51,0.48,0.00,0.96,0.00,0.71,0.57,0.47,0.00,1.06,0.51,0.00,0.50,0.36
6/8/12,1.00,0.00,0.51,0.51,0.48,0.00,0.96,0.00,0.94,0.57,0.60,0.00,1.25,0.42,0.00,0.76,0.24
6/9/12,1.44,0.00,0.51,0.64,0.70,0.00,1.05,0.00,1.18,0.93,0.69,0.00,1.25,0.42,0.00,0.60,0.31
6/10/12,1.65,0.00,0.60,0.43,0.70,0.00,1.18,0.00,1.25,1.09,0.85,0.00,1.26,0.33,0.00,0.51,0.31
6/12/12,1.65,0.00,0.89,0.59,0.61,0.00,1.36,0.00,1.11,1.13,0.85,0.00,1.44,0.12,0.00,0.51,0.31
6/13/12,1.56,0.00,0.82,0.38,0.45,0.00,1.45,0.00,0.98,0.97,0.85,0.00,1.19,0.03,0.00,0.51,0.31
6/14/12,1.72,0.00,0.69,0.63,0.45,0.00,1.45,0.00,0.98,1.15,0.94,0.00,1.39,0.03,0.00,0.58,0.31
6/15/12,1.92,0.00,0.69,0.54,0.45,0.00,1.31,0.00,1.12,1.15,1.16,0.00,1.55,0.03,0.00,0.78,0.42
6/16/12,2.06,0.00,0.76,0.61,0.59,0.00,1.31,0.00,1.21,1.40,1.14,0.00,1.64,0.03,0.00,0.78,0.42
6/17/12,2.31,0.00,0.63,0.70,0.59,0.00,1.35,0.00,1.50,1.59,0.89,0.00,1.57,0.03,0.00,0.85,0.34
6/19/12,2.22,0.00,0.63,0.70,0.59,0.00,1.35,0.00,1.88,1.62,0.92,0.00,1.41,0.03,0.00,0.85,0.34
6/20/12,1.97,0.00,0.63,0.79,0.80,0.00,1.42,0.00,1.80,1.75,0.91,0.00,0.93,0.00,0.00,0.59,0.25
6/21/12,1.52,0.00,0.72,0.81,0.51,0.00,1.33,0.00,1.64,1.39,1.00,0.00,0.93,0.00,0.00,0.81,0.18
6/22/12,1.49,0.00,0.72,0.90,0.51,0.00,1.21,0.00,1.66,1.18,0.91,0.00,0.72,0.00,0.49,1.04,0.18
6/23/12,1.56,0.00,0.52,0.90,0.51,0.00,1.12,0.00,1.73,1.31,0.91,0.00,0.45,0.00,0.58,1.04,0.18
6/24/12,1.81,0.00,0.72,0.90,0.51,0.00,1.12,0.00,1.73,1.31,1.10,0.00,0.45,0.00,0.65,1.11,0.18
6/25/12,1.58,0.00,0.81,0.64,0.60,0.00,1.12,0.00,1.73,1.36,1.01,0.00,0.25,0.00,0.65,1.04,0.18
6/26/12,1.45,0.00,0.72,0.73,0.60,0.00,1.05,0.00,1.54,1.20,0.79,0.00,0.09,0.00,0.83,0.84,0.00
6/27/12,1.64,0.00,0.63,0.66,0.46,0.00,1.10,0.00,1.45,0.95,1.05,0.00,0.00,0.00,0.99,0.84,0.00
6/28/12,1.48,0.00,0.63,0.57,0.46,0.00,0.89,0.00,1.16,0.94,1.12,0.00,0.00,0.07,1.15,0.77,0.00
6/29/12,1.81,0.00,0.63,0.57,0.46,0.00,0.79,0.00,0.87,0.90,1.38,0.00,0.00,0.07,1.15,0.52,0.00
6/30/12,1.93,0.00,0.63,0.48,0.25,0.00,0.62,0.00,1.01,0.87,1.36,0.00,0.00,0.07,1.36,0.52,0.09
7/1/12,1.95,0.00,0.54,0.52,0.38,0.00,0.62,0.00,0.94,0.87,1.27,0.00,0.00,0.07,1.36,0.30,0.09
7/2/12,1.77,0.00,0.52,0.43,0.38,0.00,0.83,0.00,1.06,0.80,1.20,0.00,0.00,0.07,0.96,0.07,0.27
7/3/12,1.86,0.00,0.88,0.27,0.47,0.00,0.95,0.00,0.85,0.74,1.52,0.00,0.00,0.07,0.96,0.07,0.27
7/4/12,1.71,0.00,0.78,0.27,0.47,0.00,0.92,0.00,1.30,0.95,1.33,0.00,0.00,0.07,0.97,0.16,0.27
7/5/12,1.62,0.00,0.69,0.27,0.38,0.00,0.83,0.00,1.23,0.90,1.42,0.00,0.00,0.07,0.97,0.16,0.43
7/6/12,1.70,0.00,0.69,0.18,0.38,0.00,1.17,0.00,1.43,1.12,1.67,0.00,0.00,0.28,0.79,0.41,0.58
7/7/12,1.57,0.00,0.70,0.18,0.22,0.00,1.33,0.00,1.34,1.19,1.34,0.00,0.00,0.58,0.63,0.41,0.58
7/8/12,1.67,0.00,0.70,0.18,0.22,0.00,1.33,0.00,1.59,1.10,1.40,0.00,0.00,0.77,0.70,0.48,0.79
7/13/12,1.53,0.00,0.90,0.18,0.22,0.00,1.24,0.00,1.50,0.97,0.98,0.00,0.00,0.77,0.86,0.61,0.79
7/14/12,1.40,0.00,0.90,0.25,0.31,0.00,1.45,0.00,1.20,0.88,0.98,0.00,0.00,0.84,0.98,0.68,0.70
7/15/12,1.56,0.00,0.90,0.14,0.18,0.00,1.52,0.00,1.45,1.12,0.97,0.00,0.00,0.84,1.05,0.68,0.88
7/16/12,1.56,0.00,0.90,0.14,0.18,0.00,1.45,0.00,1.24,1.12,1.27,0.00,0.00,1.04,1.12,0.68,0.84
7/17/12,1.47,0.00,0.45,0.14,0.09,0.00,1.43,0.00,1.45,1.08,0.97,0.00,0.00,1.21,1.21,0.77,0.84
7/18/12,1.56,0.00,0.36,0.14,0.09,0.00,1.35,0.00,1.07,1.08,1.32,0.00,0.21,1.67,1.21,0.75,0.84
7/19/12,1.69,0.00,0.43,0.14,0.37,0.00,1.70,0.00,1.16,0.90,1.37,0.00,0.21,2.01,1.57,0.75,0.67
7/20/12,2.04,0.00,0.43,0.14,0.37,0.00,1.76,0.00,1.04,0.68,1.34,0.00,0.30,1.89,1.80,0.59,0.53
7/21/12,1.91,0.00,0.34,0.14,0.37,0.00,1.55,0.00,1.04,0.61,1.43,0.00,0.39,1.59,2.07,0.77,0.53
7/22/12,1.85,0.00,0.34,0.14,0.37,0.00,1.55,0.00,0.78,0.52,1.40,0.00,0.61,1.34,2.00,0.70,0.32
